result,time,n_jobs,executor_type
1.000000078539829,0:00:00.254197,5,process
1.000000078539799,0:00:00.257493,4,process
1.00000007853981,0:00:00.283697,6,process
1.000000078539804,0:00:00.300541,8,process
1.000000078539797,0:00:00.303536,7,process
1.0000000785397931,0:00:00.309825,3,process
1.0000000785398198,0:00:00.342203,10,process
1.000000078539802,0:00:00.372522,11,process
1.0000000785397398,0:00:00.377403,12,process
1.0000000785397503,0:00:00.391505,9,process
1.0000000785398064,0:00:00.397385,2,process
1.0000000785398035,0:00:00.401284,13,process
1.0000000785397725,0:00:00.437574,15,process
1.0000000785397818,0:00:00.472578,14,process
1.0000000785397252,0:00:00.482098,17,process
1.0000000785397776,0:00:00.523064,19,process
1.000000078539818,0:00:00.538077,20,process
1.0000000785397398,0:00:00.541945,12,thread
1.0000000785398198,0:00:00.542439,10,thread
1.000000078539758,0:00:00.542478,18,process
1.0000000785397525,0:00:00.543408,24,thread
1.0000000785397487,0:00:00.543533,23,thread
1.0000000785397218,0:00:00.543759,21,thread
1.0000000785396617,0:00:00.543762,30,thread
1.0000000785396839,0:00:00.544499,26,thread
1.0000000785397314,0:00:00.544696,31,thread
1.000000078539829,0:00:00.546106,5,thread
1.0000000785397147,0:00:00.546353,29,thread
1.000000078539802,0:00:00.546613,11,thread
1.0000000785398118,0:00:00.546921,25,thread
1.0000000785397931,0:00:00.548718,3,thread
1.0000000785397212,0:00:00.549587,22,thread
1.000000078539797,0:00:00.550796,7,thread
1.000000078539804,0:00:00.551048,8,thread
1.0000000785397725,0:00:00.552208,15,thread
1.0000000785397776,0:00:00.552986,19,thread
1.0000000785398064,0:00:00.554289,2,thread
1.00000007853981,0:00:00.554967,16,process
1.000000078539799,0:00:00.555392,4,thread
1.0000000785396206,0:00:00.555621,35,thread
1.0000000785396033,0:00:00.558724,37,thread
1.00000007853981,0:00:00.559595,16,thread
1.0000000785397223,0:00:00.559985,44,thread
1.00000007853981,0:00:00.560685,6,thread
1.000000078539818,0:00:00.564173,20,thread
1.0000000785395406,0:00:00.564602,45,thread
1.0000000785397503,0:00:00.565022,9,thread
1.0000000785396883,0:00:00.565127,52,thread
1.0000000785395247,0:00:00.565950,43,thread
1.0000000785397252,0:00:00.566385,17,thread
1.0000000785395669,0:00:00.567768,42,thread
1.0000000785395604,0:00:00.567939,46,thread
1.0000000785398035,0:00:00.569618,13,thread
1.0000000785396326,0:00:00.570957,33,thread
1.0000000785398107,0:00:00.572187,32,thread
1.000000078539758,0:00:00.573243,18,thread
1.0000000785399288,0:00:00.573908,1,thread
1.000000078539756,0:00:00.574544,36,thread
1.0000000785396783,0:00:00.577109,27,thread
1.0000000785397778,0:00:00.577900,38,thread
1.0000000785397218,0:00:00.578167,21,process
1.0000000785397825,0:00:00.579351,28,thread
1.000000078539813,0:00:00.580393,50,thread
1.000000078539811,0:00:00.581286,40,thread
1.0000000785397818,0:00:00.583208,14,thread
1.0000000785397487,0:00:00.585709,23,process
1.0000000785395655,0:00:00.586060,48,thread
1.0000000785395657,0:00:00.586168,56,thread
1.0000000785395935,0:00:00.588372,39,thread
1.0000000785397194,0:00:00.591153,34,thread
1.0000000785395875,0:00:00.597619,51,thread
1.0000000785395016,0:00:00.607832,53,thread
1.0000000785396754,0:00:00.608656,49,thread
1.0000000785397212,0:00:00.614170,22,process
1.0000000785394685,0:00:00.614270,54,thread
1.0000000785394638,0:00:00.615494,55,thread
1.0000000785397984,0:00:00.617305,47,thread
1.000000078539634,0:00:00.620693,41,thread
1.0000000785395382,0:00:00.624457,61,thread
1.000000078539398,0:00:00.625180,63,thread
1.0000000785398118,0:00:00.630564,25,process
1.0000000785397525,0:00:00.645494,24,process
1.0000000785395926,0:00:00.650178,59,thread
1.0000000785394862,0:00:00.658350,62,thread
1.0000000785396839,0:00:00.659423,26,process
1.0000000785396328,0:00:00.664692,57,thread
1.0000000785397216,0:00:00.670191,58,thread
1.0000000785397314,0:00:00.705230,31,process
1.000000078539658,0:00:00.710877,60,thread
1.0000000785396617,0:00:00.713448,30,process
1.0000000785399288,0:00:00.720902,1,process
1.0000000785398107,0:00:00.732380,32,process
1.0000000785397147,0:00:00.735403,29,process
1.0000000785396783,0:00:00.748118,27,process
1.0000000785398135,0:00:00.759544,64,thread
1.0000000785397194,0:00:00.783834,34,process
1.0000000785397825,0:00:00.789277,28,process
1.000000078539756,0:00:00.790077,36,process
1.0000000785396328,0:00:00.796228,57,process
1.0000000785397778,0:00:00.808120,38,process
1.0000000785396206,0:00:00.829241,35,process
1.0000000785396033,0:00:00.832798,37,process
1.0000000785396326,0:00:00.867673,33,process
1.0000000785395016,0:00:00.875446,53,process
1.0000000785395935,0:00:00.877175,39,process
1.000000078539634,0:00:00.886024,41,process
1.000000078539813,0:00:00.899650,50,process
1.0000000785395669,0:00:00.903869,42,process
1.0000000785396883,0:00:00.914819,52,process
1.0000000785395655,0:00:00.919052,48,process
1.0000000785394685,0:00:00.921722,54,process
1.0000000785395875,0:00:00.932747,51,process
1.0000000785395247,0:00:00.935288,43,process
1.0000000785397984,0:00:00.952475,47,process
1.0000000785395406,0:00:00.962669,45,process
1.0000000785396754,0:00:00.963017,49,process
1.0000000785397216,0:00:00.968809,58,process
1.0000000785395657,0:00:00.979584,56,process
1.0000000785395604,0:00:00.988416,46,process
1.000000078539811,0:00:00.988604,40,process
1.0000000785395926,0:00:00.996537,59,process
1.0000000785397223,0:00:01.001422,44,process
1.000000078539658,0:00:01.013613,60,process
1.000000078539398,0:00:01.021411,63,process
1.0000000785394862,0:00:01.037395,62,process
1.0000000785394638,0:00:01.068100,55,process
1.0000000785398135,0:00:01.082687,64,process
1.0000000785395382,0:00:01.341784,61,process
